SKU,Week,Promo Depth %,Traffic,Conversion %,AOV,Base Price,Unit Cost,Units Sold,,,,,
J0203,1,0.08,"1,789",0.09,678.37,568.00,294.39,161,,,,,
J0204,1,0.08,"3,280",0.05,823.34,823.00,446.95,164,,,,,
J0205,1,0.08,"2,483",0.06,444.54,387.00,173.98,149,,,,,
J0207,1,0.25,"14,200",0.01,756.54,885.00,384.81,142,,,,,
J0208,1,0.24,675,0.20,760.03,721.00,394.52,135,,,,,
J0209,1,0.21,732,0.22,783.40,813.33,376.53,161,,,,,
J0210,1,0.22,"1,264",0.11,899.11,865.33,442.61,139,,,,,
J0211,1,0.12,600,0.25,764.34,699.00,307.78,150,,,,,
J0212,1,0.20,"1,173",0.11,892.77,"1,047.67",545.16,129,,,,,
J0213,1,0.23,"1,400",0.11,663.85,678.00,293.26,154,,,,,
J0214,1,0.21,"1,814",0.07,545.19,499.00,241.64,127,,,,,
J0215,1,0.18,694,0.17,686.82,664.45,259.64,118,,,,,
J0216,1,0.05,"1,046",0.13,764.68,602.17,317.11,136,,,,,
J0217,1,0.23,"2,760",0.05,626.51,598.50,294.47,138,,,,,
J0219,1,0.30,"3,700",0.00,444.08,561.50,297.99,185,,,,,
J0220,1,0.13,"5,267",0.03,754.48,771.40,303.01,158,,,,,
J0226,1,0.24,923,0.13,"1,530.11","1,593.00",638.56,120,,,,,
J0228,1,0.09,"1,578",0.09,"1,866.46","1,718.00",869.57,142,,,,,
J0229,1,0.27,"1,610",0.10,"1,223.41","1,247.00",545.94,161,,,,,
J0230,1,0.10,"1,279",0.14,"1,174.98",956.43,393.16,179,,,,,
J0231,1,0.13,"1,007",0.14,"1,316.73","1,289.50",587.52,141,,,,,
J0232,1,0.30,"13,200",0.01,942.13,"1,188.01",546.44,132,,,,,
J0233,1,0.21,"1,673",0.11,"1,378.77","1,319.00",671.22,184,,,,,
J0234,1,0.21,"1,644",0.09,"1,107.41","1,223.00",653.29,148,,,,,
J0235,1,0.08,"4,933",0.03,"1,229.65",999.00,397.08,148,,,,,
J0236,1,0.29,"1,333",0.09,770.57,905.70,359.50,120,,,,,
J0237,1,0.17,"3,933",0.03,"1,341.90","1,259.50",557.17,118,,,,,
J0238,1,0.28,"2,643",0.07,869.00,"1,114.00",548.49,185,,,,,
J0239,1,0.27,920,0.15,"1,172.37","1,266.20",621.24,138,,,,,
J0240,1,0.15,"1,185",0.13,"1,635.85","1,593.00",679.55,154,,,,,
J0241,1,0.07,"4,400",0.03,"1,580.72","1,354.00",538.20,132,,,,,
J0242,1,0.10,"1,127",0.11,"1,155.10","1,157.50",462.07,124,,,,,
J0243,1,0.27,124,1.31,"1,137.95","1,191.86",497.51,162,,,,,
J0244,1,0.26,"2,314",0.07,"1,252.77","1,252.18",552.03,162,,,,,
J0245,1,0.22,"6,750",0.02,848.31,966.00,517.48,135,,,,,
J0247,1,0.11,"1,467",0.09,818.70,849.00,443.62,132,,,,,
J0248,1,0.00,852,0.21,"1,052.45",994.50,395.06,179,,,,,
J0249,1,0.01,"2,780",0.00,"1,174.87",931.00,416.07,139,,,,,
J0252,1,0.03,793,0.15,"1,138.15",929.40,509.72,119,,,,,
J0254,1,0.24,"2,800",0.06,848.76,899.67,479.30,168,,,,,
J0277,1,0.01,"13,900",0.01,"1,693.99","1,512.67",661.34,139,,,,,
J0278,1,0.06,342,0.50,848.98,761.00,417.90,171,,,,,
J0280,1,0.29,"2,267",0.06,"1,348.27","1,509.44",788.93,136,,,,,
J0281,1,0.19,"1,129",0.14,"1,312.22","1,323.69",604.55,158,,,,,
J0282,1,0.28,"3,650",0.04,"1,030.04","1,025.00",443.19,146,,,,,
J0283,1,0.19,"1,580",0.10,916.60,"1,030.83",452.71,158,,,,,
J0284,1,0.07,867,0.15,"1,484.72","1,234.42",631.87,130,,,,,
J0285,1,0.15,"2,329",0.07,"1,419.22","1,401.31",601.06,163,,,,,
J0290,1,0.03,"2,283",0.06,621.51,534.00,272.16,137,,,,,
J0292,1,0.05,"1,330",0.10,466.01,377.00,186.50,133,,,,,
J0293,1,0.30,"2,680",0.00,426.99,472.00,199.70,134,,,,,
J0294,1,0.05,314,0.49,525.53,396.00,174.07,154,,,,,
J0295,1,0.14,"2,443",0.07,914.65,971.33,394.00,171,,,,,
J0297,1,0.17,"1,729",0.07,442.45,490.66,215.01,121,,,,,
J0298,1,0.30,"1,155",0.11,455.32,499.00,226.24,127,,,,,
J0299,1,0.14,"1,570",0.10,369.08,342.67,183.01,157,,,,,
J0300,1,0.08,"1,325",0.12,294.14,279.00,136.01,159,,,,,
J0301,1,0.14,389,0.36,448.78,484.17,244.47,140,,,,,
J0302,1,0.28,149,1.06,541.20,696.00,353.93,158,,,,,
J0304,1,0.25,757,0.21,303.60,297.00,114.22,159,,,,,
J0305,1,0.29,"3,500",0.00,613.92,774.00,373.98,175,,,,,
J0306,1,0.25,"3,820",0.00,734.55,842.00,335.41,191,,,,,
J0308,1,0.22,750,0.16,708.09,803.85,355.87,120,,,,,
J0310,1,0.05,"2,029",0.07,378.17,339.00,140.65,142,,,,,
J0319,1,0.04,760,0.25,898.29,871.00,404.62,190,,,,,
J0328,1,0.08,811,0.18,"1,052.68",929.00,419.84,146,,,,,
J0329,1,0.00,"7,400",0.02,784.61,730.78,340.74,148,,,,,
J0330,1,0.01,"1,233",0.12,788.78,599.00,309.57,148,,,,,
J0331,1,0.17,"1,133",0.12,725.21,772.00,329.79,136,,,,,
J0332,1,0.09,"5,900",0.03,837.38,742.69,373.03,177,,,,,
J0333,1,0.23,"1,850",0.08,862.69,825.00,450.34,148,,,,,
J0334,1,0.07,"3,180",0.05,636.86,535.91,235.95,159,,,,,
J0335,1,0.22,320,0.40,"1,064.40","1,103.58",573.74,128,,,,,
J0336,1,0.16,"1,540",0.10,701.25,717.50,279.91,154,,,,,
J0337,1,0.16,711,0.19,479.31,489.14,189.71,135,,,,,
J0338,1,0.28,"2,960",0.05,"1,031.44","1,115.42",440.00,148,,,,,
J0339,1,0.29,"3,575",0.04,965.79,973.05,473.94,143,,,,,
J0340,1,0.03,"1,550",0.08,919.84,739.90,405.00,124,,,,,
J0341,1,0.24,"4,375",0.04,906.09,957.44,375.49,175,,,,,
J0342,1,0.24,"2,960",0.05,754.85,760.67,363.00,148,,,,,
J0343,1,0.28,438,0.32,890.23,"1,019.46",393.17,140,,,,,
J0344,1,0.13,"4,050",0.04,437.69,469.72,181.40,162,,,,,
J0345,1,0.20,"1,962",0.08,517.67,519.00,210.19,157,,,,,
J0346,1,0.14,"1,811",0.09,565.96,475.10,237.52,163,,,,,
J0347,1,0.13,"6,800",0.02,604.30,625.00,302.83,136,,,,,
J0348,1,0.11,"1,608",0.12,587.72,511.31,207.24,193,,,,,
J0349,1,0.06,"1,700",0.10,821.86,780.42,387.18,170,,,,,
J0350,1,0.19,"1,444",0.09,476.14,475.00,247.56,130,,,,,
J0351,1,0.03,"1,788",0.08,704.65,670.25,305.19,143,,,,,
J0352,1,0.03,714,0.21,735.25,627.67,245.33,150,,,,,
J0353,1,0.14,"2,460",0.00,612.03,541.33,233.68,123,,,,,
J0354,1,0.29,"2,714",0.07,468.14,562.75,254.98,190,,,,,
J0355,1,0.13,679,0.24,665.12,596.00,317.95,163,,,,,
J0369,1,0.22,"1,500",0.09,"1,149.62","1,109.50",494.23,135,,,,,
J0370,1,0.27,"1,230",0.10,"1,113.27","1,109.50",423.49,123,,,,,
J0371,1,0.05,"1,871",0.07,"1,181.99","1,099.00",578.28,131,,,,,
J0372,1,0.18,818,0.22,"1,023.90","1,049.50",484.75,180,,,,,
J0373,1,0.26,835,0.17,500.50,613.00,245.72,142,,,,,
J0375,1,0.05,"5,400",0.03,"1,444.98","1,088.50",461.60,162,,,,,
J0376,1,0.12,972,0.18,"1,171.08",968.22,417.79,175,,,,,
J0377,1,0.08,710,0.20,"1,252.71","1,099.00",473.20,142,,,,,
J0378,1,0.15,273,0.52,"1,271.02","1,112.00",543.64,142,,,,,
J0379,1,0.07,423,0.35,"1,492.15","1,301.97",651.10,148,,,,,
J0380,1,0.06,841,0.22,"1,714.33","1,438.00",593.04,185,,,,,
J0381,1,0.09,"1,518",0.11,"1,244.29","1,264.67",521.40,167,,,,,
J0382,1,0.02,"1,036",0.14,"1,564.69","1,214.77",489.06,145,,,,,
J0395,1,0.11,"2,780",0.05,946.35,971.33,383.43,139,,,,,
J0396,1,0.12,344,0.48,"1,171.12",993.80,460.20,165,,,,,
J0397,1,0.03,"3,825",0.04,"1,282.71",999.00,464.28,153,,,,,
J0398,1,0.07,"6,533",0.03,"1,276.01","1,057.00",437.90,196,,,,,
J0399,1,0.06,"4,875",0.04,790.13,791.00,347.65,195,,,,,
J0400,1,0.01,149,1.15,983.15,859.00,369.94,171,,,,,
J0401,1,0.27,"2,760",0.05,881.25,"1,057.00",438.35,138,,,,,
J0414,1,0.28,248,0.50,721.58,852.17,339.76,124,,,,,
J0415,1,0.04,973,0.15,"1,053.70","1,015.67",500.26,146,,,,,
J0416,1,0.06,"7,150",0.02,"1,068.59",825.00,401.07,143,,,,,
JNE0850,1,0.24,"1,810",0.10,774.21,819.00,437.36,181,,,,,
JNE09187,1,0.10,"1,544",0.09,852.78,819.00,369.94,139,,,,,
JNE1233,1,0.18,"4,500",0.04,416.30,427.00,232.24,180,,,,,
JNE1234,1,0.17,"2,300",0.06,295.42,295.00,138.90,138,,,,,
JNE1408,1,0.09,"1,062",0.16,372.79,325.07,148.80,170,,,,,
JNE1525,1,0.21,"1,444",0.09,302.32,311.00,155.90,130,,,,,
JNE1906,1,0.05,"19,600",0.01,457.42,351.00,157.79,196,,,,,
JNE1951,1,0.22,917,0.18,349.89,366.50,199.67,165,,,,,
JNE1977,1,0.25,"2,083",0.06,269.26,256.95,139.69,125,,,,,
JNE1998,1,0.21,"2,667",0.06,314.15,295.00,121.00,160,,,,,
JNE2009,1,0.28,521,0.24,244.34,302.20,147.71,125,,,,,
JNE2014,1,0.11,"1,260",0.10,398.33,325.33,171.90,126,,,,,
JNE2032,1,0.28,"1,636",0.11,248.16,316.00,145.75,180,,,,,
JNE2049,1,0.08,655,0.22,482.60,392.61,164.54,144,,,,,
JNE2086,1,0.15,"12,700",0.01,625.57,622.00,319.28,127,,,,,
JNE2100,1,0.19,985,0.13,369.09,335.71,149.09,128,,,,,
JNE2101,1,0.00,"1,622",0.09,375.01,277.00,148.33,146,,,,,
JNE2113,1,0.12,"1,027",0.15,580.25,495.00,267.90,154,,,,,
JNE2132,1,0.11,768,0.19,612.73,519.00,238.57,146,,,,,
JNE2153,1,0.25,"1,440",0.10,258.76,298.29,136.64,144,,,,,
JNE2170,1,0.19,510,0.39,419.25,480.00,211.99,199,,,,,
JNE2171,1,0.20,618,0.28,427.82,449.00,191.53,173,,,,,
JNE2199,1,0.16,"1,086",0.14,351.02,376.22,144.51,152,,,,,
JNE2205,1,0.29,"3,040",0.00,303.00,330.00,152.54,152,,,,,
JNE2251,1,0.29,"2,157",0.07,354.50,426.33,211.08,151,,,,,
JNE2262,1,0.29,286,0.56,395.18,400.00,165.93,160,,,,,
JNE2265,1,0.03,"1,186",0.14,677.80,548.33,276.34,166,,,,,
JNE2266,1,0.17,"5,667",0.03,408.64,368.00,174.94,170,,,,,
JNE2270,1,0.08,"2,580",0.05,481.04,476.90,255.93,129,,,,,
JNE2291,1,0.20,"8,800",0.02,461.74,427.00,233.01,176,,,,,
JNE2305,1,0.12,818,0.17,399.25,330.45,127.67,139,,,,,
JNE3030,1,0.21,"3,520",0.05,559.08,579.86,236.51,176,,,,,
JNE3042,1,0.09,"1,100",0.15,330.07,287.37,124.05,165,,,,,
JNE3065,1,0.15,"2,833",0.06,427.51,381.69,183.39,170,,,,,
JNE3068,1,0.02,"1,175",0.12,749.21,688.00,358.13,141,,,,,
JNE3160,1,0.25,889,0.18,531.70,578.29,302.68,160,,,,,
JNE3252,1,0.22,"1,682",0.11,370.21,399.00,202.48,185,,,,,
JNE3255,1,0.21,"16,700",0.01,423.68,487.00,222.38,167,,,,,
JNE3256,1,0.20,"1,300",0.11,454.48,482.00,206.55,143,,,,,
JNE3261,1,0.13,"1,093",0.15,325.12,348.00,152.34,164,,,,,
JNE3265,1,0.17,587,0.23,290.07,330.00,165.80,135,,,,,
JNE3270,1,0.25,"1,536",0.11,290.51,353.00,136.85,169,,,,,
JNE3273,1,0.04,"1,540",0.10,664.47,499.00,211.85,154,,,,,
JNE3276,1,0.06,279,0.53,232.39,199.00,90.70,148,,,,,
JNE3279,1,0.15,476,0.37,389.34,330.00,147.18,176,,,,,
JNE3288,1,0.26,876,0.17,426.73,480.00,229.76,149,,,,,
JNE3291,1,0.06,668,0.25,422.32,387.60,196.86,167,,,,,
JNE3294,1,0.22,987,0.15,360.57,376.70,184.39,148,,,,,
JNE3311,1,0.28,"2,014",0.07,519.19,599.00,252.28,141,,,,,
JNE3313,1,0.27,115,1.24,444.36,560.00,306.63,143,,,,,
JNE3323,1,0.13,"1,875",0.08,293.68,264.90,140.47,150,,,,,
JNE3334,1,0.10,"4,250",0.04,319.06,314.95,170.76,170,,,,,
JNE3348,1,0.16,500,0.34,443.75,417.00,226.46,170,,,,,
JNE3364,1,0.20,"3,364",0.14,360.79,353.00,142.81,471,,,,,
JNE3365,1,0.21,548,0.27,313.77,360.03,154.95,148,,,,,
JNE3366,1,0.15,"14,800",0.01,290.43,318.89,149.68,148,,,,,
JNE3368,1,0.09,"3,233",0.06,508.61,422.38,225.28,194,,,,,
JNE3369,1,0.02,"4,080",0.00,570.81,481.00,224.35,204,,,,,
JNE3371,1,0.10,"1,822",0.09,317.13,329.20,154.56,164,,,,,
JNE3373,1,0.07,"2,717",0.06,467.77,359.73,187.26,163,,,,,
JNE3376,1,0.13,"5,233",0.03,399.32,428.88,204.25,157,,,,,
JNE3383,1,0.03,"3,900",0.00,535.15,426.60,205.73,195,,,,,
JNE3384,1,0.02,"1,925",0.08,408.01,298.60,132.97,154,,,,,
JNE3389,1,0.08,347,0.38,598.69,574.00,253.73,132,,,,,
JNE3391,1,0.20,"1,350",0.10,394.16,448.00,242.95,135,,,,,
JNE3396,1,0.12,"2,562",0.08,408.66,425.07,206.72,205,,,,,
JNE3398,1,0.27,"2,000",0.09,248.98,295.00,130.86,180,,,,,
JNE3399,1,0.00,"3,280",0.05,468.46,431.61,200.47,164,,,,,
JNE3400,1,0.27,539,0.36,428.75,454.50,183.80,194,,,,,
JNE3401,1,0.09,"2,100",0.08,252.61,259.00,113.45,168,,,,,
JNE3403,1,0.07,318,0.65,487.31,426.60,222.81,207,,,,,
JNE3404,1,0.17,844,0.18,562.81,484.75,260.80,152,,,,,
JNE3405,1,0.12,"2,543",0.07,488.12,415.52,183.16,178,,,,,
JNE3407,1,0.08,"4,000",0.04,285.55,245.30,133.81,160,,,,,
JNE3408,1,0.07,"15,800",0.01,368.70,342.60,154.31,158,,,,,
JNE3412,1,0.05,"3,420",0.00,481.83,399.88,156.02,171,,,,,
JNE3415,1,0.00,256,0.54,367.87,298.00,134.75,138,,,,,
JNE3420,1,0.05,"1,026",0.19,337.91,296.63,143.57,195,,,,,
JNE3421,1,0.08,"1,188",0.16,368.62,365.67,161.13,190,,,,,
